,frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0,1,0.0,0.98,1,0.09041,0.025464,-0.995579,-0.077808,0.059561,-0.995188,0.006,0.043,61.5,80.7,409.0,-0.14,-0.053,0.046,0.0,0.0,0.0,0.39,0.17,0.9,0.0,0.0,0.0,0.0,5.0,0.86,1.05,0.46,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,2,0.033,0.98,1,0.089257,0.024041,-0.995718,-0.075925,0.056788,-0.995495,0.007,0.041,61.5,80.8,409.1,-0.149,-0.049,0.04,0.0,0.0,0.0,0.13,0.18,0.9,0.0,0.0,0.0,0.0,3.58,0.9,0.61,0.27,0.99,1.16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,3,0.067,0.98,1,0.081911,0.019599,-0.996447,-0.084784,0.051377,-0.995074,-0.001,0.036,61.6,81.0,409.8,-0.154,-0.043,0.037,0.0,0.0,0.0,0.0,0.17,0.86,0.0,0.0,0.0,0.0,2.72,1.15,0.38,0.15,1.34,2.07,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,4,0.1,0.98,1,0.082414,0.017566,-0.996443,-0.095677,0.043887,-0.994444,-0.007,0.031,61.6,81.0,409.7,-0.154,-0.038,0.035,0.0,0.0,0.0,0.0,0.15,0.8,0.0,0.0,0.0,0.0,3.1,1.61,0.38,0.23,1.26,2.58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,5,0.133,0.98,1,0.077546,0.015659,-0.996866,-0.097678,0.043684,-0.994259,-0.01,0.03,61.6,81.2,410.0,-0.154,-0.035,0.033,0.0,0.0,0.0,0.0,0.13,0.83,0.0,0.0,0.0,0.0,2.89,1.42,0.13,0.21,0.61,2.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
5,6,0.167,0.98,1,0.078597,0.014266,-0.996804,-0.098551,0.043108,-0.994198,-0.01,0.029,61.6,81.2,410.1,-0.156,-0.034,0.033,0.0,0.0,0.0,0.0,0.13,0.78,0.0,0.0,0.0,0.0,3.76,1.18,0.27,0.18,0.26,1.76,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,7,0.2,0.98,1,0.068103,0.011833,-0.997608,-0.1027,0.044592,-0.993712,-0.017,0.028,61.5,81.3,410.1,-0.156,-0.034,0.031,0.0,0.0,0.0,0.01,0.16,0.73,0.0,0.0,0.0,0.0,4.25,0.92,0.32,0.1,0.07,0.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7,8,0.233,0.98,1,0.048141,0.006637,-0.998819,-0.105075,0.034312,-0.993872,-0.029,0.021,61.3,81.4,410.4,-0.157,-0.031,0.029,0.0,0.0,0.0,0.01,0.15,0.69,0.0,0.0,0.0,0.0,2.86,0.66,0.32,0.0,0.26,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,9,0.267,0.98,1,0.04564,0.008797,-0.998919,-0.100142,0.037427,-0.994269,-0.027,0.023,61.0,82.1,413.0,-0.154,-0.032,0.041,0.0,0.0,0.0,0.09,0.18,0.81,0.0,0.0,0.0,0.0,2.49,0.45,0.05,0.0,0.4,1.12,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,10,0.3,0.98,1,0.050563,0.004376,-0.998711,-0.101497,0.024887,-0.994524,-0.026,0.015,61.3,81.7,411.4,-0.163,-0.041,0.046,0.0,0.0,0.0,0.17,0.17,0.79,0.0,0.0,0.0,0.0,2.21,0.62,0.0,0.0,0.33,1.51,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
