,frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0,1,0.0,0.98,1,0.043536,0.194351,-0.979966,-0.104807,0.216057,-0.970739,-0.031,0.207,33.4,42.3,356.0,0.042,0.046,-0.009,0.35,0.14,1.8,0.0,0.6,2.37,0.04,1.16,0.0,0.0,0.0,0.11,0.0,0.0,0.18,0.02,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.033,0.98,1,0.034193,0.203467,-0.978485,-0.112425,0.228716,-0.96698,-0.04,0.219,33.4,42.0,354.8,0.053,0.048,-0.007,0.21,0.08,1.69,0.0,0.55,2.3,0.01,1.03,0.0,0.0,0.0,0.11,0.0,0.0,0.07,0.01,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.067,0.98,1,0.032186,0.211465,-0.976856,-0.134348,0.24297,-0.960685,-0.053,0.23,33.4,41.8,353.9,0.059,0.048,-0.006,0.13,0.03,1.69,0.0,0.5,2.22,0.0,0.96,0.0,0.0,0.0,0.11,0.0,0.0,0.01,0.02,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.1,0.98,1,0.118335,0.228877,-0.966236,-0.123924,0.225499,-0.96633,-0.003,0.231,33.3,41.7,353.0,0.06,0.047,-0.003,0.08,0.03,1.75,0.0,0.49,2.11,0.0,0.91,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.02,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.133,0.98,1,0.115651,0.22914,-0.966499,-0.120452,0.226056,-0.966638,-0.002,0.231,33.3,41.6,352.6,0.062,0.046,-0.001,0.05,0.06,1.77,0.0,0.5,2.09,0.0,0.9,0.0,0.0,0.01,0.04,0.0,0.0,0.02,0.02,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,0.167,0.98,1,0.114695,0.231789,-0.965981,-0.121469,0.226942,-0.966303,-0.004,0.233,33.3,41.6,352.4,0.063,0.047,-0.0,0.08,0.13,1.76,0.0,0.51,2.04,0.0,0.85,0.0,0.0,0.01,0.04,0.0,0.03,0.06,0.06,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0.2,0.98,1,0.118828,0.233366,-0.965101,-0.120797,0.227322,-0.966298,-0.001,0.234,33.3,41.6,352.4,0.064,0.044,0.001,0.12,0.18,1.74,0.0,0.47,2.04,0.0,0.77,0.0,0.0,0.01,0.11,0.0,0.07,0.08,0.06,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,0.233,0.98,1,0.115784,0.233287,-0.96549,-0.117972,0.228378,-0.966398,-0.001,0.235,33.3,41.6,352.2,0.064,0.045,0.001,0.12,0.13,1.73,0.0,0.39,1.9,0.0,0.66,0.0,0.0,0.0,0.18,0.0,0.07,0.05,0.07,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,0.267,0.98,1,0.124115,0.233691,-0.964357,-0.116587,0.219408,-0.968642,0.004,0.23,33.4,41.6,351.9,0.065,0.045,0.002,0.09,0.05,1.65,0.0,0.36,1.79,0.0,0.62,0.0,0.0,0.0,0.21,0.0,0.07,0.03,0.01,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,0.3,0.98,1,0.124011,0.236305,-0.963733,-0.119222,0.221481,-0.967849,0.002,0.233,33.5,41.7,351.7,0.068,0.045,0.002,0.05,0.03,1.58,0.0,0.34,1.63,0.0,0.59,0.0,0.0,0.0,0.21,0.0,0.04,0.03,0.01,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11,0.333,0.98,1,0.129759,0.240627,-0.961905,-0.121052,0.221029,-0.967725,0.005,0.235,33.5,41.7,351.9,0.068,0.045,0.001,0.04,0.07,1.56,0.0,0.34,1.64,0.0,0.62,0.0,0.0,0.0,0.19,0.0,0.07,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12,0.367,0.98,1,0.129849,0.238793,-0.96235,-0.115641,0.222607,-0.968025,0.007,0.235,33.6,41.7,352.0,0.071,0.046,-0.0,0.01,0.07,1.56,0.0,0.35,1.73,0.0,0.61,0.0,0.0,0.0,0.18,0.0,0.04,0.02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,0.4,0.98,1,0.128746,0.241088,-0.961926,-0.118755,0.221351,-0.967937,0.005,0.235,33.6,41.6,351.9,0.071,0.047,-0.002,0.0,0.06,1.57,0.0,0.37,1.79,0.0,0.64,0.0,0.0,0.0,0.19,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,14,0.433,0.98,1,0.127289,0.238873,-0.962672,-0.117938,0.225129,-0.967165,0.005,0.236,33.6,41.6,352.1,0.074,0.049,-0.003,0.04,0.04,1.57,0.0,0.38,1.8,0.0,0.61,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15,0.467,0.98,1,0.124325,0.238489,-0.963154,-0.12029,0.219798,-0.968101,0.002,0.233,33.7,41.7,352.3,0.074,0.049,-0.002,0.07,0.09,1.61,0.0,0.39,1.86,0.0,0.58,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
