,frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0,1,0.0,0.98,1,0.080054,0.206804,-0.975102,-0.128408,0.283795,-0.950248,-0.025,0.25,30.2,-9.1,246.7,0.022,0.056,0.025,0.0,0.07,1.21,0.0,0.68,1.32,0.36,1.35,0.0,0.32,0.11,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2,0.033,0.98,1,0.074679,0.206196,-0.975657,-0.113704,0.257742,-0.9595,-0.02,0.235,30.2,-9.0,246.7,0.01,0.057,0.025,0.0,0.12,1.19,0.0,0.7,1.11,0.28,1.48,0.05,0.5,0.09,0.02,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,3,0.067,0.98,1,0.077044,0.209091,-0.974856,-0.111522,0.260859,-0.958914,-0.018,0.238,30.2,-8.9,246.5,0.01,0.058,0.023,0.0,0.16,1.23,0.09,0.73,1.08,0.22,1.47,0.08,0.53,0.23,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,4,0.1,0.98,1,0.069529,0.1936,-0.978614,-0.108766,0.232891,-0.966401,-0.02,0.216,30.6,-9.2,246.0,0.006,0.058,0.024,0.0,0.27,1.31,0.17,0.75,1.24,0.24,1.47,0.11,0.55,0.28,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,5,0.133,0.98,1,0.076257,0.19706,-0.977421,-0.105353,0.229276,-0.967643,-0.015,0.216,30.6,-9.1,245.9,0.004,0.056,0.025,0.0,0.36,1.35,0.2,0.81,1.37,0.22,1.43,0.13,0.55,0.31,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,6,0.167,0.98,1,0.073642,0.200971,-0.976825,-0.107397,0.235015,-0.96604,-0.017,0.221,30.6,-9.2,245.9,0.005,0.055,0.025,0.0,0.35,1.39,0.2,0.79,1.42,0.18,1.53,0.15,0.6,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,7,0.2,0.98,1,0.06986,0.209273,-0.975359,-0.097487,0.228495,-0.968652,-0.014,0.221,30.8,-9.1,245.5,0.007,0.056,0.026,0.0,0.35,1.42,0.22,0.77,1.4,0.16,1.58,0.14,0.5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,8,0.233,0.98,1,0.073144,0.212369,-0.974448,-0.092759,0.22968,-0.968836,-0.01,0.224,30.8,-9.1,245.4,0.005,0.055,0.026,0.0,0.29,1.43,0.27,0.74,1.43,0.12,1.61,0.14,0.47,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,9,0.267,0.98,1,0.072889,0.208886,-0.97522,-0.074925,0.2277,-0.970844,-0.001,0.221,31.0,-9.1,245.7,0.005,0.057,0.028,0.0,0.33,1.41,0.31,0.73,1.46,0.16,1.56,0.12,0.41,0.02,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9,10,0.3,0.98,1,0.07534,0.209015,-0.975006,-0.079264,0.228875,-0.970223,-0.002,0.221,31.0,-9.1,245.5,0.004,0.056,0.028,0.0,0.3,1.41,0.38,0.72,1.55,0.16,1.52,0.13,0.45,0.0,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
