,frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0,1,0.0,0.98,1,0.042592,0.014743,-0.998984,-0.184729,0.055318,-0.981231,-0.072,0.035,18.2,2.1,328.2,-0.235,0.063,0.044,0.43,0.44,1.37,0.35,0.01,1.62,0.49,-0.67,-1.8,-1.0,0.17,0.47,0.31,0.54,0.54,0.51,0.66,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2,0.033,0.98,1,0.02153,0.003744,-0.999761,-0.178908,0.055179,-0.982317,-0.079,0.03,18.3,2.1,328.7,-0.25,0.062,0.045,0.55,0.48,1.36,0.33,0.04,1.71,0.61,-0.68,-1.8,-1.08,0.41,0.27,0.4,0.53,0.6,0.46,0.79,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,0.067,0.98,1,0.016595,-0.00089,-0.999862,-0.177779,0.051713,-0.982711,-0.081,0.026,18.3,2.1,329.0,-0.254,0.062,0.045,0.47,0.46,1.37,0.25,0.04,1.61,0.35,-0.76,-1.83,-1.3,0.63,0.59,0.2,0.65,0.48,0.75,0.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,0.1,0.98,1,0.029763,0.000684,-0.999557,-0.169811,0.048628,-0.984276,-0.07,0.025,18.3,2.1,328.7,-0.255,0.062,0.045,0.52,0.42,1.38,0.47,0.04,1.61,0.36,-0.78,-1.83,-1.39,0.76,0.51,0.33,0.62,0.51,0.75,0.63,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.133,0.98,1,0.030788,5.2e-05,-0.999526,-0.165252,0.052895,-0.984832,-0.068,0.027,18.2,2.1,329.1,-0.258,0.063,0.044,0.54,0.38,1.47,0.4,0.05,1.65,0.54,-0.72,-1.74,-1.04,0.38,0.45,0.47,0.46,0.6,0.63,0.49,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,0.167,0.98,1,0.044347,0.001124,-0.999016,-0.166491,0.048673,-0.984841,-0.061,0.025,18.0,2.1,328.2,-0.257,0.063,0.044,0.55,0.36,1.49,0.4,0.08,1.81,0.62,-0.69,-1.79,-0.92,-0.24,0.35,0.41,0.53,0.71,0.49,0.64,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0.2,0.98,1,0.048037,-9e-05,-0.998846,-0.166952,0.048982,-0.984748,-0.06,0.025,18.0,2.1,328.4,-0.256,0.062,0.044,0.51,0.42,1.32,0.43,0.1,1.8,0.65,-0.74,-1.78,-0.93,-0.01,0.37,0.39,0.57,0.45,0.39,0.55,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,0.233,0.98,1,0.046954,0.001241,-0.998896,-0.165853,0.049149,-0.984925,-0.06,0.025,18.0,2.1,328.1,-0.256,0.061,0.044,0.57,0.53,1.42,0.51,0.11,1.82,0.7,-0.78,-1.8,-1.09,-0.19,0.39,0.34,0.59,0.6,0.31,0.6,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,0.267,0.98,1,0.041447,0.00196,-0.999139,-0.166491,0.048614,-0.984844,-0.063,0.025,18.0,2.1,328.3,-0.257,0.062,0.044,0.53,0.46,1.39,0.54,0.1,1.87,0.65,-0.77,-1.77,-1.13,-0.14,0.33,0.24,0.55,0.65,0.32,0.62,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,0.3,0.98,1,0.045298,0.004447,-0.998964,-0.168995,0.047587,-0.984467,-0.062,0.026,18.0,2.1,328.2,-0.257,0.062,0.044,0.53,0.52,1.38,0.43,0.13,1.99,0.65,-0.75,-1.73,-1.06,-0.19,0.32,0.27,0.59,0.62,0.38,0.68,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
