,frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0,1,0.0,0.88,1,-0.102374,0.112022,-0.988418,-0.193223,0.115927,-0.974282,-0.149,0.116,82.3,-24.8,389.0,0.01,0.205,-0.022,0.03,0.0,0.89,0.64,0.37,0.0,0.0,0.59,0.11,0.18,0.77,1.26,0.39,0.19,0.0,0.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,2,0.033,0.88,1,-0.093344,0.114485,-0.98903,-0.194243,0.119012,-0.973707,-0.145,0.118,82.1,-24.6,387.2,0.008,0.207,-0.027,0.04,0.0,0.92,0.64,0.44,0.19,0.0,0.74,0.18,0.19,0.91,1.59,0.42,0.26,0.0,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2,3,0.067,0.88,1,-0.09413,0.112061,-0.989233,-0.194421,0.118403,-0.973746,-0.146,0.117,82.1,-24.5,387.0,0.004,0.208,-0.027,0.05,0.0,0.94,0.73,0.47,0.32,0.0,0.76,0.19,0.2,1.19,1.83,0.52,0.32,0.0,0.46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3,4,0.1,0.88,1,-0.112339,0.107056,-0.987886,-0.185958,0.104291,-0.977007,-0.151,0.107,82.1,-24.5,387.0,-0.0,0.208,-0.025,0.07,0.0,0.83,0.76,0.44,0.34,0.0,0.74,0.21,0.15,1.3,1.92,0.54,0.39,0.0,0.64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.133,0.88,1,-0.092174,0.098278,-0.990881,-0.175714,0.102079,-0.979135,-0.135,0.101,82.0,-24.4,387.4,-0.003,0.21,-0.022,0.11,0.0,0.71,0.84,0.41,0.36,0.0,0.67,0.19,0.08,1.38,1.97,0.58,0.44,0.0,0.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,0.167,0.88,1,-0.087964,0.091452,-0.991917,-0.165669,0.106832,-0.980378,-0.128,0.1,81.8,-24.2,386.6,-0.003,0.21,-0.023,0.16,0.0,0.61,0.77,0.39,0.37,0.0,0.69,0.19,0.06,1.18,1.94,0.47,0.47,0.0,0.87,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0.2,0.88,1,-0.09096,0.105799,-0.990219,-0.165612,0.104763,-0.980611,-0.129,0.106,82.0,-24.2,386.9,-0.004,0.213,-0.025,0.12,0.0,0.6,0.85,0.41,0.35,0.0,0.63,0.15,0.1,1.09,1.93,0.42,0.49,0.0,0.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,0.233,0.98,1,-0.096642,0.091687,-0.991087,-0.167114,0.098848,-0.98097,-0.133,0.096,81.9,-24.2,386.6,-0.005,0.213,-0.024,0.11,0.0,0.7,0.81,0.44,0.43,0.0,0.66,0.15,0.22,1.09,1.9,0.38,0.51,0.0,0.85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,0.267,0.98,1,-0.096992,0.09406,-0.990831,-0.166997,0.099441,-0.98093,-0.133,0.098,81.9,-24.2,386.4,-0.006,0.213,-0.023,0.11,0.0,0.7,0.9,0.45,0.45,0.0,0.69,0.16,0.3,1.26,1.86,0.55,0.53,0.0,0.72,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,0.3,0.88,1,-0.095705,0.08943,-0.991384,-0.165155,0.093713,-0.981805,-0.131,0.093,82.0,-24.3,386.7,-0.006,0.214,-0.023,0.14,0.0,0.69,0.89,0.45,0.37,0.0,0.72,0.18,0.37,1.44,1.78,0.76,0.55,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
